occ_group,occ_group_code,eta_iv,se_iv,f_stat,eta_calibrated,eta_final,shrinkage_weight,n_obs
Architecture and Engineering,1300,-0.0467463837220788,0.11505506249352637,18.153064218945325,-2.0,-0.05,1.0,461
"Arts, Design, Entertainment, Sports, Media",2600,-1.0616394708699948,0.619817527074744,5.428054134545785,-1.6848366437431974,-1.346561844658034,0.5428054134545784,444
Building and Grounds Cleaning and Maintenance,4200,-0.03637285837769291,0.05103501468921251,145.0820107899315,-1.1834768212118263,-0.05,1.0,519
Business and Financial Operations,500,0.31955788968059756,0.6066725979459947,1.0092739903582078,-2.0,-2.0,0.0,518
Community and Social Service,2000,-0.53341971160154,0.15644949186267737,21.085621608215053,-2.0,-0.53341971160154,1.0,491
Computer and Mathematical,1000,-0.7027061998801785,0.3002543150785438,8.87980548074942,-1.7781337957509995,-0.8231750097547106,0.887980548074942,469
Construction and Extraction,6200,0.05109052458874342,0.04442972521484903,127.30292263370664,-0.9956032769583476,-0.9956032769583476,0.0,519
"Education, Training, and Library",2200,-0.5295791855911125,0.2468865859194073,7.388509168467148,-2.0,-0.9135782331235005,0.7388509168467148,520
"Farming, Fishing, and Forestry",6000,-0.5138266154793621,0.3476913641511845,6.3640534869505565,-0.9942343721423126,-0.6885003062474182,0.6364053486950556,262
Food Preparation and Serving,4000,0.12535547100607355,0.03517455443162467,239.7910359206487,-0.926395054870345,-0.926395054870345,0.0,520
Healthcare Practitioners and Technical,3000,-0.15374853088667007,0.06399289598743181,86.20919887580823,-1.854458429894726,-0.15374853088667007,1.0,520
Healthcare Support,3600,-0.09698505157655954,0.694744380450519,0.7521726901631864,-1.061594402400409,-0.989039121363835,0.07521726901631864,512
"Installation, Maintenance, and Repair",7000,-0.07059638235844377,0.21207092613205927,4.0870830509440355,-1.0976917291042336,-0.677909330765413,0.40870830509440353,517
Legal,2100,0.40581903435442274,0.3461041754514882,8.51411468468223,-2.0,-2.0,0.0,345
"Life, Physical, and Social Science",1600,0.3762964452098148,0.2336192296336022,10.548970394894429,-2.0,-2.0,0.0,354
Management,10,-0.0064791793931036675,0.08363992799255317,22.030856097735683,-2.0,-0.05,1.0,520
Office and Administrative Support,5000,-0.08914952174674234,0.0469261708822821,64.20908369763391,-1.277838597797418,-0.08914952174674234,1.0,520
Personal Care and Service,4300,-0.21708296895097162,0.06556738638009338,157.36422197671047,-1.1412574249480878,-0.21708296895097162,1.0,517
Production,7700,0.07868173968841292,0.047560757891927055,80.61028557313355,-1.149366470691898,-1.149366470691898,0.0,520
Protective Service,3700,0.1245413237366817,0.22375177795254333,6.555388669389754,-1.1565491272442132,-1.1565491272442132,0.0,490
Sales and Related,4700,-0.10627783644282825,0.059805424064029916,118.40378811648382,-1.3325508474499297,-0.10627783644282825,1.0,520
Transportation and Material Moving,9000,0.029777977218831363,0.05722823660339083,90.29591889714013,-1.1154174058749535,-1.1154174058749535,0.0,520
